gold_standard_name,routing_variant,N,unsupported_reuse_rate,absolute_reduction_vs_baseline,relative_reduction_vs_baseline,overrestriction_rate,direct_use_allowed_rate,F1_nonportability_detection,precision,recall
temporal_condition_label_drift_gold_standard,ClinVar-label-only baseline,26725,0.3692422825070159,0.0,0.0,0.0,1.0,,,0.0
temporal_condition_label_drift_gold_standard,metadata-only routing,26725,0.3692422825070159,0.0,0.0,0.0,1.0,,,0.0
temporal_condition_label_drift_gold_standard,gene-only routing,26725,0.07592142188961647,0.2933208606173994,0.7943858937981353,0.47689429373246023,0.22978484565014032,0.5148430316563772,0.38082977069568597,0.7943858937981354
temporal_condition_label_drift_gold_standard,regime-only routing,26725,0.06147801683816651,0.3077642656688494,0.8335022294284556,0.47921421889616467,0.21302151543498596,0.5323624595469256,0.39107074933434766,0.8335022294284556
temporal_condition_label_drift_gold_standard,portability-score-only routing,26725,0.25103835360149673,0.11820392890551917,0.32012565869477094,0.16377923292797006,0.7180168381665107,0.3630199954033555,0.41918789808917195,0.320125658694771
temporal_condition_label_drift_gold_standard,failure-topology-only routing,26725,0.06147801683816651,0.3077642656688494,0.8335022294284556,0.47921421889616467,0.21302151543498596,0.5323624595469256,0.39107074933434766,0.8335022294284556
temporal_condition_label_drift_gold_standard,gene+regime routing,26725,0.024845650140318053,0.3443966323666979,0.9327117957032834,0.5730963517305894,0.08250701590271281,0.5353030126788414,0.3753670473083197,0.9327117957032833
temporal_condition_label_drift_gold_standard,full CAB routing,26725,0.07457436856875585,0.2946679139382601,0.7980340494527767,0.43221702525724975,0.27311506080449016,0.5376527616576774,0.4053845361886132,0.7980340494527767
conservative_composite_routing_gold_standard,ClinVar-label-only baseline,26725,0.8568755846585594,0.0,0.0,0.0,1.0,,,0.0
conservative_composite_routing_gold_standard,metadata-only routing,26725,0.8568755846585594,0.0,0.0,0.0,1.0,,,0.0
conservative_composite_routing_gold_standard,gene-only routing,26725,0.17717492984097288,0.6797006548175866,0.793231441048035,0.09051449953227315,0.22978484565014032,0.8354797166773986,0.8824815390594637,0.7932314410480349
conservative_composite_routing_gold_standard,regime-only routing,26725,0.06989710009354537,0.7869784845650141,0.9184279475982533,0.0,0.21302151543498596,0.957479741418556,1.0,0.9184279475982533
conservative_composite_routing_gold_standard,portability-score-only routing,26725,0.5748924228250701,0.28198316183348926,0.3290829694323144,0.0,0.7180168381665107,0.4952030490208963,1.0,0.3290829694323144
conservative_composite_routing_gold_standard,failure-topology-only routing,26725,0.06989710009354537,0.7869784845650141,0.9184279475982533,0.0,0.21302151543498596,0.957479741418556,1.0,0.9184279475982533
conservative_composite_routing_gold_standard,gene+regime routing,26725,0.02989710009354537,0.826978484565014,0.9651091703056768,0.09051449953227315,0.08250701590271281,0.9321383382539012,0.9013458401305057,0.9651091703056769
conservative_composite_routing_gold_standard,full CAB routing,26725,0.1299906454630496,0.7268849391955098,0.848296943231441,0.0,0.27311506080449016,0.9179227897746066,1.0,0.848296943231441
